"","candidate_name","vote","harris","state","is_vote"
"1","Kamala Harris","no",1,"Michigan","0"
"2","Kamala Harris","no",1,"Pennsylvania","0"
"3","Kamala Harris","no",1,"Pennsylvania","0"
"4","Kamala Harris","no",1,"Pennsylvania","0"
"5","Kamala Harris","no",1,"Pennsylvania","0"
"6","Kamala Harris","no",1,"Arizona","0"
"7","Kamala Harris","no",1,"Georgia","0"
"8","Kamala Harris","no",1,"Michigan","0"
"9","Kamala Harris","no",1,"Pennsylvania","0"
"10","Kamala Harris","yes",1,"Michigan","1"
"11","Kamala Harris","no",1,"Pennsylvania","0"
"12","Kamala Harris","no",1,"Georgia","0"
"13","Kamala Harris","no",1,"Arizona","0"
"14","Kamala Harris","no",1,"Georgia","0"
"15","Kamala Harris","no",1,"Michigan","0"
"16","Kamala Harris","no",1,"Pennsylvania","0"
"17","Kamala Harris","no",1,"Arizona","0"
"18","Kamala Harris","no",1,"Arizona","0"
"19","Kamala Harris","no",1,"Georgia","0"
"20","Kamala Harris","no",1,"Georgia","0"
"21","Kamala Harris","no",1,"Michigan","0"
"22","Kamala Harris","no",1,"Michigan","0"
"23","Kamala Harris","no",1,"Pennsylvania","0"
"24","Kamala Harris","no",1,"Pennsylvania","0"
"25","Kamala Harris","no",1,"Arizona","0"
"26","Kamala Harris","no",1,"Arizona","0"
"27","Kamala Harris","yes",1,"Michigan","1"
"28","Kamala Harris","yes",1,"Pennsylvania","1"
"29","Kamala Harris","no",1,"Michigan","0"
"30","Kamala Harris","no",1,"Michigan","0"
"31","Kamala Harris","no",1,"Pennsylvania","0"
"32","Kamala Harris","no",1,"Pennsylvania","0"
"33","Kamala Harris","no",1,"Pennsylvania","0"
"34","Kamala Harris","no",1,"Pennsylvania","0"
"35","Kamala Harris","no",1,"Michigan","0"
"36","Kamala Harris","no",1,"Arizona","0"
"37","Kamala Harris","no",1,"Arizona","0"
"38","Kamala Harris","no",1,"Georgia","0"
"39","Kamala Harris","no",1,"Michigan","0"
"40","Kamala Harris","no",1,"Pennsylvania","0"
"41","Kamala Harris","no",1,"Pennsylvania","0"
"42","Kamala Harris","no",1,"Arizona","0"
"43","Kamala Harris","no",1,"Georgia","0"
"44","Kamala Harris","no",1,"Michigan","0"
"45","Kamala Harris","no",1,"Pennsylvania","0"
"46","Kamala Harris","no",1,"Arizona","0"
"47","Kamala Harris","no",1,"Arizona","0"
"48","Kamala Harris","no",1,"Michigan","0"
"49","Kamala Harris","no",1,"Michigan","0"
"50","Kamala Harris","no",1,"Arizona","0"
"51","Kamala Harris","no",1,"Georgia","0"
"52","Kamala Harris","no",1,"Michigan","0"
"53","Kamala Harris","no",1,"Pennsylvania","0"
"54","Kamala Harris","no",1,"Pennsylvania","0"
"55","Kamala Harris","no",1,"Pennsylvania","0"
"56","Kamala Harris","no",1,"Arizona","0"
"57","Kamala Harris","yes",1,"Pennsylvania","1"
"58","Kamala Harris","yes",1,"Pennsylvania","1"
"59","Kamala Harris","no",1,"Georgia","0"
"60","Kamala Harris","no",1,"Georgia","0"
"61","Kamala Harris","no",1,"Arizona","0"
"62","Kamala Harris","no",1,"Arizona","0"
"63","Kamala Harris","no",1,"Arizona","0"
"64","Kamala Harris","no",1,"Georgia","0"
"65","Kamala Harris","no",1,"Georgia","0"
"66","Kamala Harris","no",1,"Michigan","0"
"67","Kamala Harris","no",1,"Michigan","0"
"68","Kamala Harris","no",1,"Pennsylvania","0"
"69","Kamala Harris","no",1,"Pennsylvania","0"
"70","Kamala Harris","no",1,"Arizona","0"
"71","Kamala Harris","no",1,"Pennsylvania","0"
"72","Kamala Harris","yes",1,"Michigan","1"
"73","Kamala Harris","no",1,"Michigan","0"
"74","Kamala Harris","no",1,"Michigan","0"
"75","Kamala Harris","no",1,"Michigan","0"
"76","Kamala Harris","no",1,"Michigan","0"
"77","Kamala Harris","no",1,"Arizona","0"
"78","Kamala Harris","no",1,"Arizona","0"
"79","Kamala Harris","no",1,"Michigan","0"
