"","party","answer","candidate_id","candidate_name","pct","pollster","state","harris","vote"
"1","DEM","Harris",16661,"Kamala Harris",50,"RMG Research","",1,"yes"
"2","REP","Trump",16651,"Donald Trump",47,"RMG Research","",0,"no"
"3","DEM","Harris",16661,"Kamala Harris",63.5,"ActiVote","California",1,"yes"
"4","REP","Trump",16651,"Donald Trump",36.5,"ActiVote","California",0,"no"
"5","DEM","Harris",16661,"Kamala Harris",42.8,"ActiVote","Missouri",1,"no"
"6","REP","Trump",16651,"Donald Trump",57.2,"ActiVote","Missouri",0,"yes"
"7","DEM","Harris",16661,"Kamala Harris",46,"InsiderAdvantage","Michigan",1,"no"
"8","REP","Trump",16651,"Donald Trump",48,"InsiderAdvantage","Michigan",0,"no"
"9","DEM","Harris",16661,"Kamala Harris",48,"InsiderAdvantage","Wisconsin",1,"no"
"10","REP","Trump",16651,"Donald Trump",48,"InsiderAdvantage","Wisconsin",0,"no"
"11","DEM","Harris",16661,"Kamala Harris",49.2,"TIPP","Pennsylvania",1,"no"
"12","REP","Trump",16651,"Donald Trump",45.3,"TIPP","Pennsylvania",0,"no"
"13","DEM","Harris",16661,"Kamala Harris",47.5,"TIPP","Pennsylvania",1,"no"
"14","REP","Trump",16651,"Donald Trump",48.9,"TIPP","Pennsylvania",0,"no"
"15","DEM","Harris",16661,"Kamala Harris",48.5,"TIPP","Pennsylvania",1,"no"
"16","REP","Trump",16651,"Donald Trump",44.9,"TIPP","Pennsylvania",0,"no"
"17","DEM","Harris",16661,"Kamala Harris",48.3,"TIPP","Pennsylvania",1,"no"
"18","REP","Trump",16651,"Donald Trump",49,"TIPP","Pennsylvania",0,"no"
"19","DEM","Harris",16661,"Kamala Harris",46,"Fabrizio/McLaughlin","Arizona",1,"no"
"20","REP","Trump",16651,"Donald Trump",49,"Fabrizio/McLaughlin","Arizona",0,"no"
"21","DEM","Harris",16661,"Kamala Harris",45,"Fabrizio/McLaughlin","Georgia",1,"no"
"22","REP","Trump",16651,"Donald Trump",50,"Fabrizio/McLaughlin","Georgia",0,"yes"
"23","DEM","Harris",16661,"Kamala Harris",48,"Fabrizio/McLaughlin","Michigan",1,"no"
"24","REP","Trump",16651,"Donald Trump",49,"Fabrizio/McLaughlin","Michigan",0,"no"
"25","DEM","Harris",16661,"Kamala Harris",47,"Fabrizio/McLaughlin","Nevada",1,"no"
"26","REP","Trump",16651,"Donald Trump",50,"Fabrizio/McLaughlin","Nevada",0,"yes"
"27","DEM","Harris",16661,"Kamala Harris",47,"Fabrizio/McLaughlin","North Carolina",1,"no"
"28","REP","Trump",16651,"Donald Trump",48,"Fabrizio/McLaughlin","North Carolina",0,"no"
"29","DEM","Harris",16661,"Kamala Harris",48,"Fabrizio/McLaughlin","Pennsylvania",1,"no"
"30","REP","Trump",16651,"Donald Trump",49,"Fabrizio/McLaughlin","Pennsylvania",0,"no"
"31","DEM","Harris",16661,"Kamala Harris",48,"Fabrizio/McLaughlin","Wisconsin",1,"no"
"32","REP","Trump",16651,"Donald Trump",49,"Fabrizio/McLaughlin","Wisconsin",0,"no"
"33","DEM","Harris",16661,"Kamala Harris",51.2,"ActiVote","Michigan",1,"yes"
"34","REP","Trump",16651,"Donald Trump",48.8,"ActiVote","Michigan",0,"no"
"35","DEM","Harris",16661,"Kamala Harris",52.9,"ActiVote","Minnesota",1,"yes"
"36","REP","Trump",16651,"Donald Trump",47.1,"ActiVote","Minnesota",0,"no"
"37","DEM","Harris",16661,"Kamala Harris",47,"InsiderAdvantage","Pennsylvania",1,"no"
"38","REP","Trump",16651,"Donald Trump",49,"InsiderAdvantage","Pennsylvania",0,"no"
"39","DEM","Harris",16661,"Kamala Harris",44.9,"Trafalgar Group","Georgia",1,"no"
"40","REP","Trump",16651,"Donald Trump",46.2,"Trafalgar Group","Georgia",0,"no"
"41","DEM","Harris",16661,"Kamala Harris",49,"co/efficient","",1,"no"
"42","REP","Trump",16651,"Donald Trump",47,"co/efficient","",0,"no"
"43","DEM","Harris",16661,"Kamala Harris",48.2,"Emerson","Arizona",1,"no"
"44","REP","Trump",16651,"Donald Trump",50.5,"Emerson","Arizona",0,"yes"
"45","DEM","Harris",16661,"Kamala Harris",49.8,"Emerson","Georgia",1,"no"
"46","REP","Trump",16651,"Donald Trump",49.7,"Emerson","Georgia",0,"no"
"47","DEM","Harris",16661,"Kamala Harris",49.7,"Emerson","Michigan",1,"no"
"48","REP","Trump",16651,"Donald Trump",49.6,"Emerson","Michigan",0,"no"
"49","DEM","Harris",16661,"Kamala Harris",49.2,"Emerson","Nevada",1,"no"
"50","REP","Trump",16651,"Donald Trump",48.1,"Emerson","Nevada",0,"no"
"51","DEM","Harris",16661,"Kamala Harris",49,"Emerson","North Carolina",1,"no"
"52","REP","Trump",16651,"Donald Trump",49.9,"Emerson","North Carolina",0,"no"
"53","DEM","Harris",16661,"Kamala Harris",49,"Emerson","Pennsylvania",1,"no"
"54","REP","Trump",16651,"Donald Trump",49.7,"Emerson","Pennsylvania",0,"no"
"55","DEM","Harris",16661,"Kamala Harris",49.2,"Emerson","Wisconsin",1,"no"
"56","REP","Trump",16651,"Donald Trump",49.9,"Emerson","Wisconsin",0,"no"
"57","DEM","Harris",16661,"Kamala Harris",39,"Siena/NYT","Montana",1,"no"
"58","REP","Trump",16651,"Donald Trump",57,"Siena/NYT","Montana",0,"yes"
"59","DEM","Harris",16661,"Kamala Harris",38,"Siena/NYT","Montana",1,"no"
"60","REP","Trump",16651,"Donald Trump",56,"Siena/NYT","Montana",0,"yes"
"61","DEM","Harris",16661,"Kamala Harris",40,"Siena/NYT","Montana",1,"no"
"62","REP","Trump",16651,"Donald Trump",57,"Siena/NYT","Montana",0,"yes"
"63","DEM","Harris",16661,"Kamala Harris",39,"Siena/NYT","Montana",1,"no"
"64","REP","Trump",16651,"Donald Trump",56,"Siena/NYT","Montana",0,"yes"
"65","DEM","Harris",16661,"Kamala Harris",37,"Torchlight Strategies","Nebraska",1,"no"
"66","REP","Trump",16651,"Donald Trump",57,"Torchlight Strategies","Nebraska",0,"yes"
"67","DEM","Harris",16661,"Kamala Harris",49.4,"ActiVote","",1,"no"
"68","REP","Trump",16651,"Donald Trump",50.6,"ActiVote","",0,"yes"
"69","DEM","Harris",16661,"Kamala Harris",38,"Change Research","Nebraska",1,"no"
"70","REP","Trump",16651,"Donald Trump",58,"Change Research","Nebraska",0,"yes"
"71","DEM","Harris",16661,"Kamala Harris",47,"Fabrizio/GBAO","Arizona",1,"no"
"72","REP","Trump",16651,"Donald Trump",45,"Fabrizio/GBAO","Arizona",0,"no"
"73","DEM","Harris",16661,"Kamala Harris",48,"Fabrizio/GBAO","Arizona",1,"no"
"74","REP","Trump",16651,"Donald Trump",46,"Fabrizio/GBAO","Arizona",0,"no"
"75","DEM","Harris",16661,"Kamala Harris",46,"Fabrizio/GBAO","Georgia",1,"no"
"76","REP","Trump",16651,"Donald Trump",45,"Fabrizio/GBAO","Georgia",0,"no"
"77","DEM","Harris",16661,"Kamala Harris",48,"Fabrizio/GBAO","Georgia",1,"no"
"78","REP","Trump",16651,"Donald Trump",46,"Fabrizio/GBAO","Georgia",0,"no"
"79","DEM","Harris",16661,"Kamala Harris",47,"Fabrizio/GBAO","Michigan",1,"no"
"80","REP","Trump",16651,"Donald Trump",45,"Fabrizio/GBAO","Michigan",0,"no"
"81","DEM","Harris",16661,"Kamala Harris",49,"Fabrizio/GBAO","Michigan",1,"no"
"82","REP","Trump",16651,"Donald Trump",47,"Fabrizio/GBAO","Michigan",0,"no"
"83","DEM","Harris",16661,"Kamala Harris",45,"Fabrizio/GBAO","North Carolina",1,"no"
"84","REP","Trump",16651,"Donald Trump",46,"Fabrizio/GBAO","North Carolina",0,"no"
"85","DEM","Harris",16661,"Kamala Harris",47,"Fabrizio/GBAO","North Carolina",1,"no"
"86","REP","Trump",16651,"Donald Trump",47,"Fabrizio/GBAO","North Carolina",0,"no"
"87","DEM","Harris",16661,"Kamala Harris",42,"Fabrizio/GBAO","Nevada",1,"no"
"88","REP","Trump",16651,"Donald Trump",47,"Fabrizio/GBAO","Nevada",0,"no"
"89","DEM","Harris",16661,"Kamala Harris",43,"Fabrizio/GBAO","Nevada",1,"no"
"90","REP","Trump",16651,"Donald Trump",49,"Fabrizio/GBAO","Nevada",0,"no"
